vendor_name,category,name,unit,price_cents,in_stock,product_code
General Beverage Distributor,Beverage,"04276 GALVANINA THE PESCA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04115 GALVANINA THE VERDE ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04213 PEPSI COLA CL 33X24 VETRO VAP 0,33 CRT 24 21,00",Case,88,true,
General Beverage Distributor,Beverage,"04219 PEPSI COLA ZERO CL 33X24 VETR O VAP 0,33 CRT 24 21,00",Case,88,true,
General Beverage Distributor,Beverage,"04228 SEVEN UP CL 33 X 24 VETRO VAP 0,33 CRT 24 21,00",Case,88,true,
General Beverage Distributor,Beverage,"04017 SPRITE CL 33 X 24 VETRO VAP 0,33 CRT 24 19,50",Case,81,true,
General Beverage Distributor,Beverage,"04016 RED BULL LATT. ML. 250*24 0,25 CRT 24 27,75",ml,116,true,
General Beverage Distributor,Beverage,"04240 RED BULL ORGANICS GINGER BEER LATT. ML 250 X 24 0,25 CRT 24 25,05",ml,104,true,
General Beverage Distributor,Beverage,"04194 RED BULL ORGANICS LEMON LATT. ML 250 X 24 0,25 CRT 24 25,05",ml,104,true,
General Beverage Distributor,Beverage,"04193 RED BULL ORGANICS TONIC LATT. ML 250 X 24 0,25 CRT 24 25,05",ml,104,true,
General Beverage Distributor,Beverage,"04303 TASSONI CEDRATA ""ZERO"" LATTINA  CL 25*12 0,25 CRT 12 9,53",Case,79,true,
General Beverage Distributor,Beverage,"04064 ARANC. AMARA  BARATTOLO S.PEL.  CL.33*24 0,33 CRT 24 13,05",Case,54,true,
General Beverage Distributor,Beverage,"04054 CHINOTTO NERI BAR. CL.33*24 0,33 CRT 24 14,03",Case,58,true,
General Beverage Distributor,Beverage,"04093 COCA COLA BAR. SLEEK CL. 33*24 0,33 CRT 24 15,15",Case,63,true,
General Beverage Distributor,Beverage,"04118 COCA COLA SENZA CAFF. SLEEK CL. 33*24 0,33 CRT 24 15,15",Case,63,true,
General Beverage Distributor,Beverage,"04057 COCA COLA ZERO LATT. CL.33*24 0,33 CRT 24 15,15",Case,63,true,
General Beverage Distributor,Beverage,"04045 FANTA BAR. CL.33*24 0,33 CRT 24 15,15",Case,63,true,
General Beverage Distributor,Beverage,"04066 LEMONSODA LATTINA CL. 33*24 0,33 CRT 24 15,00",Case,62,true,
General Beverage Distributor,Beverage,"04212 MONSTER CLASSIC ML 500 X 24 0,50 CRT 24 36,75",0.5L Unit,153,true,
General Beverage Distributor,Beverage,"04217 MONSTER ENERGY ZERO ULT ML 500  X 24 0,50 CRT 24 36,75",0.5L Unit,153,true,
General Beverage Distributor,Beverage,"04215 MONSTER GREEN ZERO ML 500 X 24 0,50 CRT 24 36,75",0.5L Unit,153,true,
General Beverage Distributor,Beverage,"04067 ORANSODA LATTINA CL. 33*24 0,33 CRT 24 15,00",Case,62,true,
General Beverage Distributor,Beverage,"04078 PEPSI COLA LATTINA CL33*24 0,33 CRT 24 12,75",Case,53,true,
General Beverage Distributor,Beverage,"04040 SPRITE BAR.CL.33*24 0,33 CRT 24 15,15",Case,63,true,
General Beverage Distributor,Beverage,"04246 THE LIPTON LIMONE BAR CL33*24 0,33 CRT 24 17,48",Case,73,true,
General Beverage Distributor,Beverage,"04247 THE LIPTON PESCA BAR CL33*24 0,33 CRT 24 17,48",Case,73,true,
General Beverage Distributor,Beverage,"04026 THE S.BENED. PESCA BAR CL33*24 0,33 CRT 24 12,00",Case,50,true,
General Beverage Distributor,Beverage,"04027 THE S.BENED.LIMONE BAR CL33X24 0,33 CRT 24 12,00",Case,50,true,
General Beverage Distributor,Beverage,"04081 CHINOTTO NERI PET CL.50*12 0,50 CRT 12 8,18",0.5L Unit,68,true,
General Beverage Distributor,Beverage,"04192 COCA COLA CL 45 X 24 PET 0,45 CRT 24 24,75",Case,103,true,
General Beverage Distributor,Beverage,"04189 COCA COLA ZERO PET LT.0.45*12 0,45 CRT 12 12,38",Case,103,true,
General Beverage Distributor,Beverage,"04214 FANTA LIMONATA ZERO PET LT.0.4 5*12 0,45 CRT 12 12,38",Case,103,true,
General Beverage Distributor,Beverage,"04191 FANTA PET LT.0.45*12 0,45 CRT 12 12,38",Case,103,true,
General Beverage Distributor,Beverage,"04279 POWERADE ACTIVE ZERO LEM CL  50*12 0,50 CRT 12 11,48",0.5L Unit,96,true,
General Beverage Distributor,Beverage,"04053 POWERADE ARANCIA  PET CL.50*12 0,50 CRT 12 11,48",0.5L Unit,96,true,
General Beverage Distributor,Beverage,"04051 POWERADE ARANCIA ROSSA PET LT.0,50*12 0,50 CRT 12 11,48",0.5L Unit,96,true,
General Beverage Distributor,Beverage,"04050 POWERADE BLU FRUT. BOSCO PET CL.50*12 0,50 CRT 12 11,48",0.5L Unit,96,true,
General Beverage Distributor,Beverage,"04117 POWERADE LIMONE PET CL.50*12 0,50 CRT 12 11,48",0.5L Unit,96,true,
General Beverage Distributor,Beverage,"04190 SPRITE PET LT.0.45*12 0,45 CRT 12 12,38",Case,103,true,
General Beverage Distributor,Beverage,"04176 THE FUZE LIMONE CL 40*12 0,40 CRT 12 10,43",Case,87,true,
General Beverage Distributor,Beverage,"04177 THE FUZE MANGO/CAMOMILLA CL 40 X12 0,40 CRT 12 10,43",Case,87,true,
General Beverage Distributor,Beverage,"04175 THE FUZE PESCA CL 40*12 0,40 CRT 12 10,43",Case,87,true,
General Beverage Distributor,Beverage,"04024 THE S. BENED. LIMONE PET LT.0.50 *12 0,50 CRT 12 5,10",0.5L Unit,43,true,
General Beverage Distributor,Beverage,"04025 THE S. BENED. PESCA PET LT.0.50 *12 0,50 CRT 12 5,10",0.5L Unit,43,true,
General Beverage Distributor,Beverage,"04049 THE S. BENED. VERDE  PET CL.50*12 0,50 CRT 12 6,00",0.5L Unit,50,true,
General Beverage Distributor,Beverage,"04235 COCA COLA PET LT 1 X 6 1,00 CRT 6 9,30",Case,155,true,
General Beverage Distributor,Beverage,"04056 COCA COLA V.A.R. LT.1*12 1,00 CES 12 18,15",Unit,151,true,
General Beverage Distributor,Beverage,"04092 FANTA VAR LT. 1*12 1,00 CES 12 18,15",Unit,151,true,
General Beverage Distributor,Beverage,"04059 SCHWEPPES LITRO*6 LIMONE PET 1,00 CRT 6 7,65",Case,128,true,
General Beverage Distributor,Beverage,"04225 SCHWEPPES LITRO*6 POMPELMO ROS A PET 1,00 CRT 6 7,65",Case,128,true,
General Beverage Distributor,Beverage,"04060 SCHWEPPES LITRO*6 TONICA 1,00 CRT 6 7,65",Case,128,true,
General Beverage Distributor,Beverage,"04000 COCA COLA PET LT.1.5 *6 1,50 CRT 6 11,93",1.5L Unit,199,true,
General Beverage Distributor,Beverage,"04055 COCA COLA ZERO LT.1.5*6 1,50 CRT 6 12,00",1.5L Unit,200,true,
General Beverage Distributor,Beverage,"04030 FANTA PET LT. 1.5*6 1,50 CRT 6 9,75",1.5L Unit,163,true,
General Beverage Distributor,Beverage,"04096 SIFONE MY SODA SAN BENEDETTO LT 1.5 1,50 BOT 1 4,65",1.5L Unit,465,true,
General Beverage Distributor,Beverage,"04037 SPRITE PET LT. 1.5*6 1,50 CRT 6 9,75",1.5L Unit,163,true,
General Beverage Distributor,Beverage,"04034 THE S. BENED. LIMONE PET LT.1.5*6 1,50 CRT 6 5,10",1.5L Unit,85,true,
General Beverage Distributor,Beverage,"04035 THE S. BENED. PESCA PET LT.1.5*6 1,50 CRT 6 5,10",1.5L Unit,85,true,
General Beverage Distributor,Beverage,"04065 FUSTO COCA COLA LT. 18 18,00 FUS 1 38,25",Unit,3825,true,
General Beverage Distributor,Beverage,"04023 FUSTO FANTA PREMIX LT 18 18,00 FUS 1 38,25",Unit,3825,true,
General Beverage Distributor,Beverage,"04099 FUSTO POST MIX PEPSI COLA LT 18 18,00 FUS 1 186,00",Unit,18600,true,
General Beverage Distributor,Beverage,"04112 FUSTO POSTMIX SCHW LIMONE LT. 18 18,00 FUS 1 190,50",0.5L Unit,19050,true,
General Beverage Distributor,Beverage,"04110 FUSTO POSTMIX SCHW TONICA  LT.  18 18,00 FUS 1 190,50",0.5L Unit,19050,true,
General Beverage Distributor,Beverage,"04106 FUSTO PRE MIX SCHW. LIMONE LT.  18 18,00 FUS 1 30,00",Unit,3000,true,
General Beverage Distributor,Beverage,"04114 FUSTO PREMIX PEPSI LT. 18 18,00 FUS 1 29,25",Unit,2925,true,
General Beverage Distributor,Beverage,"04086 FUSTO PREMIX SCHW. TON. LT18 18,00 FUS 1 30,00",Unit,3000,true,
